GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Proyecto-Codigo,com.proyecto.Proyecto.Model,Producto,77,3,0,0,10,1,16,1,16,1
Proyecto-Codigo,com.proyecto.Proyecto.Model,Carrito,65,3,0,0,12,1,11,1,11,1
Proyecto-Codigo,com.proyecto.Proyecto.Model,Auditing,0,3,0,0,0,1,0,1,0,1
Proyecto-Codigo,com.proyecto.Proyecto.Model,Roles.RolesBuilder,36,0,0,0,1,0,6,0,6,0
Proyecto-Codigo,com.proyecto.Proyecto.Model,Producto.ProductoBuilder,72,0,0,0,1,0,10,0,10,0
Proyecto-Codigo,com.proyecto.Proyecto.Model,Usuario,122,8,0,0,13,2,21,1,21,1
Proyecto-Codigo,com.proyecto.Proyecto.Model,Compras,77,3,0,0,9,1,14,1,14,1
Proyecto-Codigo,com.proyecto.Proyecto.Model,Usuario.UsuarioBuilder,90,0,0,0,1,0,12,0,12,0
Proyecto-Codigo,com.proyecto.Proyecto.Model,Roles,37,3,0,0,6,1,8,1,8,1
Proyecto-Codigo,com.proyecto.Proyecto.Exceptions,ExceptionHandlerController,73,3,0,0,12,1,5,1,5,1
Proyecto-Codigo,com.proyecto.Proyecto.Exceptions,ResourceNotFoundException,28,0,0,0,5,0,1,0,1,0
Proyecto-Codigo,com.proyecto.Proyecto.Util,UsuarioActualizado,36,0,0,0,6,0,8,0,8,0
Proyecto-Codigo,com.proyecto.Proyecto.Util,TokenGenerator,6,0,0,0,2,0,2,0,2,0
Proyecto-Codigo,com.proyecto.Proyecto.Service,ComprasService,253,3,10,0,42,1,9,1,4,1
Proyecto-Codigo,com.proyecto.Proyecto.Service,CarritoService,363,3,24,0,52,1,17,1,5,1
Proyecto-Codigo,com.proyecto.Proyecto.Service,ProductoService,334,10,22,0,57,2,17,2,6,2
Proyecto-Codigo,com.proyecto.Proyecto.Service,UsuarioService,430,25,40,0,60,2,25,2,5,2
Proyecto-Codigo,com.proyecto.Proyecto,InitApplication,90,11,3,1,12,3,2,2,0,2
Proyecto-Codigo,com.proyecto.Proyecto,ProyectoCodigoApplication,5,3,0,0,2,1,1,1,1,1
Proyecto-Codigo,com.proyecto.Proyecto.controllers,CarritoController,85,3,6,0,13,1,7,1,4,1
Proyecto-Codigo,com.proyecto.Proyecto.controllers,ComprasController,35,3,2,0,6,1,3,1,2,1
Proyecto-Codigo,com.proyecto.Proyecto.controllers,UsuarioController,212,3,14,0,34,1,13,1,6,1
Proyecto-Codigo,com.proyecto.Proyecto.controllers,ProductoController,125,3,8,0,21,1,9,1,5,1
Proyecto-Codigo,com.proyecto.Proyecto.Responses,Validations,20,6,0,0,5,2,2,2,2,2
Proyecto-Codigo,com.proyecto.Proyecto.Responses,Response,249,0,40,0,16,0,36,0,16,0
Proyecto-Codigo,com.proyecto.Proyecto.Security,SegurityConfig,0,165,0,0,0,22,0,8,0,8
Proyecto-Codigo,com.proyecto.Proyecto.Security,CustomDetailsServices,82,7,4,0,13,2,5,2,3,2
Proyecto-Codigo,com.proyecto.Proyecto.Swagger.Schemas,Direccion,81,0,14,0,4,0,15,0,8,0
Proyecto-Codigo,com.proyecto.Proyecto.Swagger.Schemas,NuevoUsuario,253,0,46,0,8,0,39,0,16,0
Proyecto-Codigo,com.proyecto.Proyecto.Swagger.Schemas,ActualizarContraseña,124,0,22,0,5,0,21,0,10,0
Proyecto-Codigo,com.proyecto.Proyecto.Swagger.Schemas,Cantidad,81,0,14,0,4,0,15,0,8,0
Proyecto-Codigo,com.proyecto.Proyecto.Swagger.Schemas,Login,124,0,22,0,5,0,21,0,10,0
Proyecto-Codigo,com.proyecto.Proyecto.Security.jwt,JwtUtil,108,7,4,0,14,2,12,1,10,1
Proyecto-Codigo,com.proyecto.Proyecto.Security.jwt,JwtFilter,120,9,14,0,30,3,8,1,1,1
